"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","over_represented_padjust","Term","Definition","clusters"
"26","GO:0000165",1.81265776421072e-08,0.99999999945432,7,206,5.02287466462789e-05,"MAPK cascade","An intracellular protein kinase cascade containing at least a MAPK, a MAPKK and a MAP3K. The cascade can also contain two additional tiers: the upstream MAP4K and the downstream MAP Kinase-activated kinase (MAPKAPK). The kinases in each tier phosphorylate and activate the kinases in the downstream tier to transmit a signal within a cell.","5"
"396","GO:0006612",8.43098869334206e-07,0.999999954203379,7,364,0.00080303541258351,"protein targeting to membrane","The process of directing proteins towards a membrane, usually using signals contained within the protein.","5"
"1154","GO:0010363",8.69399580566774e-07,0.999999952551253,7,366,0.00080303541258351,"regulation of plant-type hypersensitive response","Any endogenous process that modulates the frequency, rate or extent of the plant hypersensitive response.","5"
"884","GO:0009862",1.52889196693306e-06,0.999999933611494,6,251,0.00105913991009288,"systemic acquired resistance, salicylic acid mediated signaling pathway","The series of molecular signals mediated by salicylic acid involved in systemic acquired resistance.","5"
"1638","GO:0031348",2.37139767917811e-06,0.999999888713564,6,267,0.0012398672779464,"negative regulation of defense response","Any process that stops, prevents, or reduces the frequency, rate or extent of a defense response.","5"
"889","GO:0009867",2.68466390028091e-06,0.999999871190157,6,275,0.0012398672779464,"jasmonic acid mediated signaling pathway","A series of molecular signals mediated by jasmonic acid.","5"
"2271","GO:0050832",5.05241038530379e-06,0.999999728639024,6,312,0.00200003273966812,"defense response to fungus","Reactions triggered in response to the presence of a fungus that act to protect the cell or organism.","5"
"1637","GO:0031347",1.48849286545597e-05,0.999999614481319,4,103,0.00515576716272311,"regulation of defense response","Any process that modulates the frequency, rate or extent of a defense response.","5"
"757","GO:0009627",2.46961898352967e-05,0.999998760008809,5,243,0.00760368244817857,"systemic acquired resistance","The salicylic acid mediated response to a pathogen which confers broad spectrum resistance.","5"
"8271","GO:0009751",4.2077122213716e-05,0.999998566613276,4,140,0.0116595705654207,"response to salicylic acid","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a salicylic acid stimulus.","5"
"751","GO:0009617",9.61764369391994e-05,0.999995927348564,4,169,0.023769284563133,"response to bacterium","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a bacterium.","5"
"1907","GO:0043069",0.000102934469418115,0.999995564903529,4,165,0.023769284563133,"negative regulation of programmed cell death","Any process that stops, prevents, or reduces the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes.","5"
"1130","GO:0010310",0.000135773262395649,0.999993701550217,4,184,0.0287422578449183,"regulation of hydrogen peroxide metabolic process","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving hydrogen peroxide.","5"
"1872","GO:0042742",0.000145215304882301,0.999989326910658,5,356,0.0287422578449183,"defense response to bacterium","Reactions triggered in response to the presence of a bacterium that act to protect the cell or organism.","5"
"710","GO:0009409",0.000248657485805765,0.999979444088512,5,408,0.045935326211185,"response to cold","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cold stimulus, a temperature stimulus below the optimal temperature for that organism.","5"
"797","GO:0009695",1.61095184439387e-07,0.999999998888145,4,132,0.00044639475608154,"jasmonic acid biosynthetic process","The chemical reactions and pathways resulting in the formation of jasmonic acid, a fatty acid derivative.","6"
"828","GO:0009753",2.49088007006628e-06,0.999999965256114,4,262,0.00345111433707684,"response to jasmonic acid","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a jasmonic acid stimulus.","6"
"747","GO:0009611",5.79031079130123e-06,0.999999899646657,4,325,0.00534831706756524,"response to wounding","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism.","6"
"1248","GO:0010817",5.98388170165646e-07,0.999999993433979,4,67,0.00077517151458262,"regulation of hormone levels","Any process that modulates the levels of hormone within an organism or a tissue. A hormone is any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action.","7"
"8191","GO:0009741",9.45898887391526e-07,0.999999988274677,4,79,0.00077517151458262,"response to brassinosteroid","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a brassinosteroid stimulus.","7"
"8112","GO:0009733",1.05314914449341e-06,0.999999958667968,6,366,0.00077517151458262,"response to auxin","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an auxin stimulus.","7"
"914","GO:0009932",1.11897728557578e-06,0.99999998553169,4,78,0.00077517151458262,"cell tip growth","Growth that occurs specifically at the tip of a cell.","7"
"862","GO:0009825",1.48886825204083e-06,0.999999979252663,4,84,0.000825130785281026,"multidimensional cell growth","The process in which a cell irreversibly increases in size in two or three [spatial] dimensions or along two or three axes.","7"
"38","GO:0000271",2.20563622069083e-06,0.999999965947046,4,92,0.000915569281056404,"polysaccharide biosynthetic process","The chemical reactions and pathways resulting in the formation of a polysaccharide, a polymer of many (typically more than 10) monosaccharide residues linked glycosidically.","7"
"817","GO:0009739",2.31287801060802e-06,0.999999963795176,4,98,0.000915569281056404,"response to gibberellin","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a gibberellin stimulus.","7"
"1940","GO:0043481",4.84448261058982e-06,0.999999908141973,4,113,0.00167800766424305,"anthocyanin accumulation in tissues in response to UV light","The aggregation of the pigment anthocyanin in a particular location in a tissue, occurring in response to a UV light stimulus.","7"
"2500","GO:0071555",1.14969253190949e-05,0.999999726972822,4,139,0.00353977556213465,"cell wall organization","A process that results in the assembly, arrangement of constituent parts, or disassembly of the cell wall, the rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal and most prokaryotic cells, maintaining their shape and protecting them from osmotic lysis.","7"
"2243","GO:0048767",2.6858935828735e-05,0.99999920382232,4,175,0.00744261111814248,"root hair elongation","The process in which the root hair grows longer.","7"
"1077","GO:0010218",0.000112315308150621,0.999997705798719,3,96,0.0282932471713974,"response to far red light","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of far red light stimulus. Far red light is electromagnetic radiation of wavelength 700-800nm. An example of this response is seen at the beginning of many plant species developmental stages. These include germination, and the point when cotyledon expansion is triggered. In certain species these processes take place in response to absorption of red light by the pigment molecule phytochrome, but the signal can be reversed by exposure to far red light. During the initial phase the phytochrome molecule is only present in the red light absorbing form, but on absorption of red light it changes to a far red light absorbing form, triggering progress through development. An immediate short period of exposure to far red light entirely returns the pigment to its initial state and prevents triggering of the developmental process. A thirty minute break between red and subsequent far red light exposure renders the red light effect irreversible, and development then occurs regardless of whether far red light exposure subsequently occurs.","7"
"515","GO:0006952",6.99612378273255e-06,0.999999603483159,6,426,0.0193862590019519,"defense response","Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack.","8"
